team,pass_yards_allowed_pg,rush_yards_allowed_pg,rec_yards_allowed_pg,receptions_allowed_pg,def_pass_rank,def_run_rank,def_role_rank,def_epa_allowed_per_play,def_success_allowed_rate,def_sacks_pg,def_qb_hits_pg,def_fumbles_forced_pg,explosive_pass_allowed_rate,explosive_rush_allowed_rate,def_epa_rank,def_pass_rush_rank,def_explosive_run_rank,def_explosive_pass_rank
ARI,242.82,126.94,242.82,22.06,24,25,24,0.09,50.35,1.76,4.06,1.06,3.66,4.37,28,28,24,19
ATL,221.94,126.24,221.29,19.47,15,24,15,0.0235,47.78,3.35,5.29,1.18,3.57,3.72,15,2,18,18
BAL,259.0,106.65,259.0,23.47,29,10,29,0.0264,46.86,1.76,5.65,1.12,4.52,3.32,19,28,13,31
BUF,170.24,136.18,168.59,16.29,1,28,1,0.0235,47.73,2.12,5.06,1.12,3.03,5.18,15,20,31,6
CAR,215.12,123.29,215.12,19.76,14,20,14,0.0462,46.06,1.76,3.12,0.76,3.18,3.56,23,28,15,9
CHI,239.24,134.53,239.24,20.88,22,27,22,0.0291,48.7,2.06,4.71,0.94,4.54,4.39,21,22,25,32
CIN,245.59,147.06,245.59,20.47,25,32,25,0.0988,49.63,2.06,4.59,0.76,4.39,4.54,29,22,27,30
CLE,189.41,116.41,188.82,18.12,3,16,3,-0.0718,42.74,3.12,6.06,1.47,3.17,3.39,4,3,14,8
DAL,265.94,125.47,265.94,22.41,32,23,32,0.137,50.82,2.06,6.18,0.71,4.11,4.54,32,22,27,26
DEN,212.12,91.06,212.12,20.18,11,2,11,-0.0367,42.01,4.0,8.76,0.88,2.79,2.09,8,1,2,3
DET,236.88,114.53,236.88,20.12,21,14,21,0.0155,45.39,2.88,5.82,1.29,4.18,3.89,13,4,20,28
GB,206.82,117.71,206.82,21.18,10,18,10,0.0571,48.0,2.12,5.76,0.71,2.98,2.9,24,20,7,5
HOU,205.06,93.71,203.82,18.76,7,4,7,-0.1085,41.35,2.76,5.24,1.0,3.53,2.63,2,7,4,17
IND,262.47,101.88,262.47,23.35,31,7,31,0.0314,48.89,2.29,5.47,0.71,3.95,2.98,22,15,9,24
JAX,231.35,85.59,230.18,23.29,19,1,19,-0.0588,45.39,1.88,5.35,0.88,3.37,2.49,5,27,3,14
KC,205.12,105.71,204.94,20.0,8,9,8,0.0119,47.67,2.06,5.76,0.82,3.44,3.14,12,22,10,15
LA,234.59,110.82,234.12,22.18,20,12,20,-0.0459,45.06,2.76,6.76,0.88,3.77,2.77,6,7,6,22
LAC,194.94,105.18,194.94,18.06,4,8,4,-0.0383,45.04,2.65,5.18,0.88,2.89,4.06,7,10,23,4
LV,214.35,116.82,214.35,21.12,13,17,13,0.0247,46.87,2.18,4.76,1.06,2.66,3.6,17,18,17,2
MIA,230.59,132.41,229.94,21.82,18,26,18,0.0686,49.85,2.29,4.41,1.06,3.7,4.44,26,15,26,20
MIN,177.71,124.12,177.06,16.41,2,21,2,-0.0733,44.26,2.88,5.59,1.35,2.34,4.02,3,4,22,1
NE,206.59,101.71,205.59,20.59,9,6,9,-0.0354,47.26,2.06,5.06,0.94,3.24,3.24,10,22,11,11
NO,196.24,120.59,196.24,18.35,5,19,5,-0.0268,44.44,2.65,4.65,1.18,3.2,3.78,11,10,19,10
NYG,229.88,145.29,229.88,21.06,17,31,17,0.0691,48.25,2.29,5.47,0.82,3.5,5.35,27,15,32,16
NYJ,226.41,139.47,226.41,19.76,16,29,16,0.1196,48.34,1.53,3.41,0.76,4.02,4.58,31,31,29,25
PHI,204.47,124.41,203.24,18.18,6,22,6,-0.0364,44.76,2.47,6.0,1.29,3.3,3.95,9,12,21,12
PIT,261.0,113.06,260.59,23.29,30,13,30,0.0252,46.48,2.82,6.35,1.06,3.7,3.28,18,6,12,20
SEA,212.88,91.94,212.88,22.06,12,3,12,-0.1204,42.31,2.76,6.47,0.65,3.13,1.99,1,7,1,7
SF,241.76,107.82,241.24,23.41,23,11,23,0.0267,49.82,1.18,3.35,1.12,3.32,2.73,20,32,5,13
TB,254.82,99.06,254.76,22.29,27,5,27,0.0206,47.65,2.18,5.06,1.24,4.17,2.96,14,18,8,27
TEN,248.29,114.59,248.29,20.82,26,15,26,0.0641,46.45,2.47,5.41,0.65,4.25,3.59,25,12,16,29
WAS,257.12,141.53,257.12,20.59,28,30,28,0.1073,48.5,2.47,5.18,0.88,3.77,4.63,30,12,30,22
