season,week,team,opp,player,attempts,completions,passing_yards,passing_tds,interceptions,sacks,position,carries,rushing_yards,rushing_tds,fumbles_x,fumbles_lost_x,targets,receptions,receiving_yards,receiving_tds,air_yards,fumbles_y,fumbles_lost_y,fantasy_points_ppr,fantasy_points,offense_snaps,offense_pct,defense_snaps,defense_pct,st_snaps,st_pct
2025,1,ARI,NO,E.Higgins,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,5.0,0.0,0.0,1.3,0.3,,,,,,
2025,1,ARI,NO,G.Dortch,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-2.0,0.0,-2.0,0.0,0.0,0.8,-0.2,,,,,,
2025,1,ARI,NO,J.Conner,0.0,0.0,0.0,0.0,0.0,0.0,,12.0,39.0,0.0,0.0,0.0,4.0,4.0,5.0,1.0,-15.0,0.0,0.0,14.4,10.4,,,,,,
2025,1,ARI,NO,K.Murray,34.0,21.0,163.0,2.0,0.0,5.0,QB,7.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.32,18.32,,,,,,
2025,1,ARI,NO,M.Harrison,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,6.0,5.0,71.0,1.0,76.0,0.0,0.0,18.1,13.1,,,,,,
2025,1,ARI,NO,Mi.Wilson,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,4.0,1.0,5.0,0.0,62.0,0.0,0.0,1.5,0.5,,,,,,
2025,1,ARI,NO,T.Benson,0.0,0.0,0.0,0.0,0.0,0.0,,8.0,69.0,0.0,0.0,0.0,1.0,1.0,6.0,0.0,-2.0,0.0,0.0,8.5,7.5,,,,,,
2025,1,ARI,NO,T.McBride,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,9.0,6.0,61.0,0.0,35.0,0.0,0.0,12.1,6.1,,,,,,
2025,1,ARI,NO,T.Reiman,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,10.0,0.0,5.0,0.0,0.0,2.0,1.0,,,,,,
2025,1,ARI,NO,Z.Jones,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,2.0,0.0,0.0,1.4,0.4,,,,,,
2025,1,ATL,TB,B.Robinson,0.0,0.0,0.0,0.0,0.0,0.0,,12.0,24.0,0.0,0.0,0.0,7.0,6.0,100.0,1.0,-9.0,0.0,0.0,24.4,18.4,,,,,,
2025,1,ATL,TB,Cas.Washington,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,6.0,3.0,33.0,0.0,99.0,0.0,0.0,6.3,3.3,,,,,,
2025,1,ATL,TB,D.London,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,15.0,8.0,55.0,0.0,99.0,0.0,0.0,13.5,5.5,,,,,,
2025,1,ATL,TB,K.Hodge,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,,,,,,
2025,1,ATL,TB,K.Pitts,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,8.0,7.0,59.0,0.0,37.0,0.0,0.0,12.9,5.9,,,,,,
2025,1,ATL,TB,M.Penix,43.0,27.0,298.0,1.0,0.0,1.0,QB,6.0,21.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.02,24.02,,,,,,
2025,1,ATL,TB,R.McCloud,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,5.0,3.0,51.0,0.0,36.0,0.0,0.0,8.1,5.1,,,,,,
2025,1,ATL,TB,T.Allgeier,0.0,0.0,0.0,0.0,0.0,0.0,,10.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,2.4,,,,,,
2025,1,BAL,BUF,D.Henry,0.0,0.0,0.0,0.0,0.0,0.0,,18.0,169.0,2.0,1.0,1.0,1.0,1.0,13.0,0.0,5.0,0.0,0.0,31.2,30.2,,,,,,
2025,1,BAL,BUF,D.Hopkins,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,2.0,2.0,35.0,1.0,33.0,0.0,0.0,11.5,9.5,,,,,,
2025,1,BAL,BUF,J.Hill,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,-14.0,0.0,1.0,0.0,2.0,1.0,3.0,0.0,-2.0,0.0,0.0,-0.1,-1.1,,,,,,
2025,1,BAL,BUF,L.Jackson,21.0,14.0,209.0,2.0,0.0,2.0,QB,6.0,70.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.36,29.36,,,,,,
2025,1,BAL,BUF,M.Andrews,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,4.0,0.0,0.0,1.5,0.5,,,,,,
2025,1,BAL,BUF,R.Ali,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,,,,,,
2025,1,BAL,BUF,R.Bateman,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,4.0,2.0,10.0,0.0,42.0,0.0,0.0,3.0,1.0,,,,,,
2025,1,BAL,BUF,Z.Flowers,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,8.0,0.0,0.0,0.0,9.0,7.0,143.0,1.0,91.0,0.0,0.0,28.1,21.1,,,,,,
2025,1,BUF,BAL,D.Kincaid,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,5.0,4.0,48.0,1.0,40.0,1.0,0.0,14.8,10.8,,,,,,
2025,1,BUF,BAL,D.Knox,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,2.0,2.0,20.0,0.0,3.0,0.0,0.0,4.0,2.0,,,,,,
2025,1,BUF,BAL,E.Moore,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,8.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,3.0,0.0,0.0,2.1,1.1,,,,,,
2025,1,BUF,BAL,J.Allen,50.0,33.0,394.0,2.0,0.0,1.0,QB,14.0,30.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.76,38.76,,,,,,
2025,1,BUF,BAL,J.Cook,0.0,0.0,0.0,0.0,0.0,0.0,,13.0,44.0,1.0,0.0,0.0,5.0,5.0,58.0,0.0,-6.0,0.0,0.0,21.2,16.2,,,,,,
