player,team,position,attempts,completions,passing_yards,passing_tds,interceptions,sacks,carries,rushing_yards,rushing_tds,targets,receptions,receiving_yards,receiving_tds,air_yards,fantasy_points,fantasy_points_ppr,offense_snaps,defense_snaps,st_snaps,games_played,pass_attempts_pg,completions_pg,passing_yards_pg,passing_tds_pg,interceptions_pg,rush_attempts_pg,rushing_yards_pg,targets_pg,receptions_pg,receiving_yards_pg,air_yards_pg,fantasy_points_pg,fantasy_points_std_pg,target_share,air_yards_share,carries_share,snap_share,route_participation,red_zone_touch_share,red_zone_carries,red_zone_targets,red_zone_pass_attempts,goal_line_touches
A.Abdullah,IND,,0.0,0.0,0.0,0.0,0.0,0.0,14.0,60.0,1.0,17.0,16.0,99.0,0.0,-3.0,21.9,37.9,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,1.167,5.0,1.417,1.333,8.25,-0.25,3.158,1.825,3.17,-0.07,3.16,0.0,0.0,1.49,3.0,1.0,0.0,1.0
A.Baccellia,ARI,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,8.0,0.0,7.0,0.8,2.8,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0,3.5,1.4,0.4,0.65,0.16,0.0,0.0,0.0,0.85,0.0,2.0,0.0,0.0
A.Bachman,LV,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,12.0,0.0,14.0,1.2,3.2,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.667,4.0,4.667,1.067,0.4,0.6,0.44,0.0,0.0,0.0,0.0,,,,
A.Barner,SEA,,0.0,0.0,0.0,0.0,0.0,0.0,10.0,14.0,1.0,68.0,52.0,519.0,6.0,297.0,95.3,147.3,0.0,0.0,0.0,17,0.0,0.0,0.0,0.0,0.0,0.588,0.824,4.0,3.059,30.529,17.471,8.665,5.606,14.88,8.11,1.97,0.0,0.0,6.15,3.0,13.0,0.0,4.0
A.Beck,NYJ,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,9.0,6.0,45.0,2.0,38.0,17.0,23.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,0.0,0.143,0.714,1.286,0.857,6.429,5.429,3.286,2.429,1.89,1.18,0.22,0.0,0.0,1.68,1.0,2.0,0.0,2.0
A.Brown,PHI,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,78.0,1003.0,7.0,1425.0,142.3,220.3,0.0,0.0,0.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.067,5.2,66.867,95.0,14.687,9.487,25.97,33.83,0.0,0.0,0.0,6.1,0.0,13.0,0.0,2.0
A.Cappa,LV,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.2,0.06,0.0,0.0,0.0,0.62,0.0,1.0,0.0,1.0
A.Dalton,CAR,QB,45.0,25.0,293.0,1.0,1.0,8.0,4.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.620000000000001,14.620000000000001,0.0,0.0,0.0,3,15.0,8.333,97.667,0.333,0.333,1.333,-0.333,0.0,0.0,0.0,0.0,4.873,4.873,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,7.0,0.0
A.Dalton,CAR,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,7.0,0.0
A.Dillon,PHI,,0.0,0.0,0.0,0.0,0.0,0.0,12.0,60.0,0.0,3.0,3.0,21.0,0.0,12.0,8.1,11.1,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0,2.0,10.0,0.5,0.5,3.5,2.0,1.85,1.35,0.64,0.28,2.51,0.0,0.0,1.41,2.0,1.0,0.0,0.0
A.Dulin,IND,,0.0,0.0,0.0,0.0,0.0,0.0,3.0,44.0,0.0,10.0,5.0,106.0,0.0,158.0,15.0,20.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,0.0,0.429,6.286,1.429,0.714,15.143,22.571,2.857,2.143,1.87,3.7,0.68,0.0,0.0,1.12,2.0,1.0,0.0,0.0
A.Ekeler,WAS,,0.0,0.0,0.0,0.0,0.0,0.0,14.0,43.0,0.0,7.0,5.0,38.0,0.0,12.0,8.1,13.1,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,7.0,21.5,3.5,2.5,19.0,6.0,6.55,4.05,1.61,0.32,2.87,0.0,0.0,0.92,2.0,0.0,0.0,0.0
A.Estime,NO,,0.0,0.0,0.0,0.0,0.0,0.0,46.0,198.0,1.0,13.0,12.0,103.0,0.0,-2.0,36.1,48.1,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,9.2,39.6,2.6,2.4,20.6,-0.4,9.62,7.22,2.3,-0.04,10.53,0.0,0.0,3.17,6.0,0.0,0.0,3.0
