player,team,position,snap_share,route_participation,target_share,air_yards_share,red_zone_touch_share,red_zone_carries,red_zone_targets,goal_line_touches,targets_pg,receptions_pg,rush_attempts_pg,carries_share,pass_attempts_pg,passing_yards_pg,rushing_yards_pg,receiving_yards_pg,fantasy_points_pg
A.Abdullah,IND,,0.0,0.0,3.17,-0.07,1.49,3.0,1.0,1.0,1.417,1.333,1.167,3.16,0.0,0.0,5.0,8.25,3.158
A.Baccellia,ARI,,0.0,0.0,0.65,0.16,0.85,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.4
A.Bachman,LV,,0.0,0.0,0.6,0.44,0.0,,,,1.0,0.667,0.0,0.0,0.0,0.0,0.0,4.0,1.067
A.Barner,SEA,,0.0,0.0,14.88,8.11,6.15,3.0,13.0,4.0,4.0,3.059,0.588,1.97,0.0,0.0,0.824,30.529,8.665
A.Beck,NYJ,,0.0,0.0,1.89,1.18,1.68,1.0,2.0,2.0,1.286,0.857,0.143,0.22,0.0,0.0,0.714,6.429,3.286
A.Brown,PHI,,0.0,0.0,25.97,33.83,6.1,0.0,13.0,2.0,8.067,5.2,0.0,0.0,0.0,0.0,0.0,66.867,14.687
A.Cappa,LV,,0.0,0.0,0.2,0.06,0.62,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A.Dalton,CAR,QB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.333,0.86,15.0,97.667,-0.333,0.0,4.873
A.Dalton,CAR,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.22,0.0,0.0,-1.0,0.0,-0.1
A.Dillon,PHI,,0.0,0.0,0.64,0.28,1.41,2.0,1.0,0.0,0.5,0.5,2.0,2.51,0.0,0.0,10.0,3.5,1.85
A.Dulin,IND,,0.0,0.0,1.87,3.7,1.12,2.0,1.0,0.0,1.429,0.714,0.429,0.68,0.0,0.0,6.286,15.143,2.857
A.Ekeler,WAS,,0.0,0.0,1.61,0.32,0.92,2.0,0.0,0.0,3.5,2.5,7.0,2.87,0.0,0.0,21.5,19.0,6.55
A.Estime,NO,,0.0,0.0,2.3,-0.04,3.17,6.0,0.0,3.0,2.6,2.4,9.2,10.53,0.0,0.0,39.6,20.6,9.62
A.Firkser,DET,,0.0,0.0,1.82,0.95,1.08,0.0,3.0,0.0,2.0,1.6,0.0,0.0,0.0,0.0,0.0,10.6,2.66
A.Gibson,NE,,0.0,0.0,0.62,-0.13,1.53,4.0,0.0,2.0,0.6,0.4,5.0,5.04,0.0,0.0,21.2,1.2,3.84
A.Gould,IND,,0.0,0.0,0.37,-0.05,0.0,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.3
A.Hooper,NE,,0.0,0.0,5.38,5.23,1.91,0.0,5.0,3.0,2.0,1.615,0.0,0.0,0.0,0.0,0.0,20.231,4.562
A.Ingold,MIA,,0.0,0.0,2.37,1.24,0.5,1.0,0.0,0.0,1.222,0.889,0.222,0.46,0.0,0.0,1.0,5.778,1.567
A.Iosivas,CIN,,0.0,0.0,9.49,13.27,3.2,0.0,7.0,3.0,3.867,2.2,0.2,0.79,0.0,0.0,0.933,29.0,5.993
A.Jeanty,LV,,0.0,0.0,14.72,-3.25,27.78,35.0,10.0,12.0,4.294,3.235,15.706,72.16,0.0,0.0,57.353,20.353,14.535
A.Johnson,LAC,,0.0,0.0,0.18,-0.05,0.0,,,,1.0,0.0,2.0,0.43,0.0,0.0,8.0,0.0,0.8
A.Jones,MIN,,0.0,0.0,8.69,-0.67,9.0,14.0,5.0,3.0,3.417,2.333,11.0,32.2,0.0,0.0,45.667,16.583,10.058
A.Kamara,NO,,0.0,0.0,6.89,0.71,10.58,15.0,5.0,2.0,3.545,3.0,11.909,29.98,0.0,0.0,42.818,16.909,9.518
A.Lazard,NYJ,,0.0,0.0,3.77,4.41,3.35,0.0,6.0,3.0,2.0,1.111,0.0,0.0,0.0,0.0,0.0,7.778,2.556
A.Martinez,SF,,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,1.0,0.21,0.0,0.0,-1.0,0.0,-0.1
A.McNamara,NYJ,QB,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.12
A.Mitchell,IND,,0.0,0.0,2.99,6.04,0.0,,,,2.0,1.125,0.0,0.0,0.0,0.0,0.0,19.0,3.025
A.Mitchell,NYJ,,0.0,0.0,12.16,26.23,4.47,0.0,8.0,0.0,7.25,3.0,0.125,0.22,0.0,0.0,-0.5,37.625,8.212
A.O'Connell,LV,QB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.27,23.0,102.0,7.0,0.0,4.78
A.Ogletree,IND,,0.0,0.0,1.12,0.98,0.74,0.0,2.0,1.0,1.5,1.0,0.0,0.0,0.0,0.0,0.0,6.75,3.175
A.Okwuegbunam,LV,,0.0,0.0,1.21,0.56,0.62,0.0,1.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,36.0,8.6
A.Pierce,IND,,0.0,0.0,15.67,37.26,3.35,0.0,9.0,1.0,5.6,3.133,0.0,0.0,0.0,0.0,0.0,66.867,12.22
A.Prentice,DEN,,0.0,0.0,1.36,0.21,1.61,2.0,2.0,2.0,0.667,0.5,0.833,2.19,0.0,0.0,3.667,4.417,1.308
A.Richardson,IND,QB,0.0,0.0,0.19,0.05,0.0,,,,1.0,1.0,0.0,0.0,2.0,9.0,0.0,9.0,2.26
A.Richardson,IND,,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,4.0,0.9,0.0,0.0,-1.0,0.0,-0.1
A.Rodgers,PIT,QB,0.0,0.0,0.19,-0.28,1.29,3.0,0.0,2.0,0.062,0.062,1.312,5.16,33.062,207.625,3.812,-0.562,14.63
A.Smith,NYJ,,0.0,0.0,3.35,6.71,0.0,,,,1.333,0.583,0.333,0.87,0.0,0.0,1.083,4.333,1.125
A.St. Brown,DET,,0.0,0.0,31.27,37.84,12.95,1.0,35.0,9.0,10.118,6.882,0.176,0.68,0.0,0.0,0.529,82.412,19.059
A.Thielen,MIN,,0.0,0.0,4.03,3.89,0.95,0.0,2.0,1.0,2.111,0.889,0.0,0.0,0.0,0.0,0.0,7.667,1.656
A.Thielen,PIT,,0.0,0.0,3.24,5.09,0.86,0.0,2.0,0.0,3.4,2.2,0.0,0.0,0.0,0.0,0.0,23.4,4.54
A.Trammell,JAX,,0.0,0.0,1.82,2.66,0.35,0.0,1.0,0.0,2.0,0.6,0.0,0.0,0.0,0.0,0.0,9.2,1.52
A.Trautman,DEN,,0.0,0.0,3.9,2.42,0.4,0.0,1.0,1.0,2.091,1.818,0.0,0.0,0.0,0.0,0.0,17.727,4.136
B.Allen,NYJ,,0.0,0.0,0.63,0.25,5.03,7.0,2.0,2.0,0.75,0.5,4.75,4.14,0.0,0.0,19.0,4.25,4.325
