team,player,red_zone_carries,red_zone_targets,red_zone_pass_attempts,goal_line_touches,red_zone_touch_share
ARI,C.Kiner,2,1,0,0,1.28
ARI,E.Demercado,5,4,0,1,3.85
ARI,G.Dortch,3,7,0,1,4.27
ARI,J.Brissett,5,0,96,3,2.14
ARI,J.Conner,5,1,0,4,2.56
ARI,K.Murray,4,0,21,1,1.71
ARI,M.Carter,8,7,0,3,6.41
ARI,T.Benson,3,2,0,1,2.14
ARI,Z.Knight,17,6,0,9,9.83
ATL,B.Robinson,36,13,0,12,23.9
ATL,K.Cousins,1,0,37,1,0.49
ATL,M.Penix,3,0,33,2,1.46
ATL,T.Allgeier,32,1,0,10,16.1
BAL,D.Henry,63,2,1,27,25.19
BAL,J.Hill,3,1,0,1,1.55
BAL,K.Mitchell,14,0,0,0,5.43
BAL,L.Jackson,13,0,53,1,5.04
BAL,M.Andrews,3,15,0,10,6.98
BAL,R.Ali,2,1,0,0,1.16
BAL,T.Huntley,7,0,16,0,2.71
BAL,Z.Flowers,1,12,0,2,5.04
BUF,E.Moore,1,0,0,1,0.36
BUF,J.Allen,33,0,77,17,11.83
BUF,J.Cook,56,3,0,17,21.15
BUF,R.Davis,7,5,0,5,4.3
BUF,R.Gilliam,1,1,0,2,0.72
BUF,Ty.Johnson,19,4,0,6,8.24
CAR,B.Young,11,0,75,2,5.31
CAR,C.Hubbard,19,6,0,5,12.08
CAR,D.Dallas,1,0,0,0,0.48
CAR,R.Dowdle,35,5,0,9,19.32
CAR,T.Etienne,4,0,0,1,1.93
CHI,C.Loveland,1,15,0,5,6.4
CHI,C.Williams,20,1,82,3,8.4
CHI,D.Moore,2,11,1,5,5.2
CHI,D.Swift,40,1,0,14,16.4
CHI,K.Monangai,38,3,0,12,16.4
CIN,C.Brown,37,12,0,17,22.37
CIN,J.Browning,2,0,12,1,0.91
CIN,J.Burrow,2,0,44,1,0.91
CIN,J.Flacco,5,0,36,1,2.28
CIN,S.Perine,16,1,0,4,7.76
CLE,D.Gabriel,2,0,35,0,1.13
CLE,D.Sampson,7,6,0,0,7.34
CLE,H.Fannin,2,11,0,4,7.34
CLE,J.Flacco,2,0,15,2,1.13
CLE,J.Ford,4,6,0,3,5.65
CLE,M.Corley,2,1,0,1,1.69
CLE,Q.Judkins,33,1,1,12,19.21
CLE,R.Sanders,7,0,0,4,3.95
CLE,S.Sanders,2,0,17,1,1.13
DAL,D.Prescott,12,0,111,7,4.12
DAL,H.Luepke,1,4,0,1,1.72
DAL,J.Blue,7,0,0,1,2.41
DAL,J.Milton,1,0,2,1,0.34
DAL,J.Williams,54,12,0,24,22.68
DAL,M.Davis,8,0,0,2,2.75
DAL,M.Sanders,6,1,0,1,2.41
DAL,P.Mafah,1,0,0,1,0.34
DEN,A.Prentice,2,2,0,2,1.61
DEN,B.Nix,17,1,95,1,7.26
DEN,J.Dobbins,20,0,0,7,8.06
DEN,J.McLaughlin,5,0,0,1,2.02
DEN,M.Mims,2,3,0,0,2.02
DEN,R.Harvey,29,11,1,13,16.13
DEN,T.Badie,2,4,0,1,2.42
DET,A.St. Brown,1,35,0,9,12.95
DET,D.Montgomery,35,2,2,17,13.31
DET,J.Gibbs,52,15,0,12,24.1
DET,J.Goff,3,0,99,0,1.08
DET,J.Williams,1,9,0,1,3.6
GB,C.Brooks,3,3,0,0,2.46
GB,C.Watson,1,6,0,2,2.87
GB,E.Wilson,24,3,0,5,11.07
GB,J.Jacobs,52,6,0,20,23.77
GB,J.Love,6,0,68,2,2.46
GB,M.Golden,2,2,0,0,1.64
GB,M.Willis,5,0,8,1,2.05
GB,S.Williams,1,4,0,0,2.05
HOU,B.Brooks,2,0,0,2,0.82
HOU,C.Stover,3,3,0,0,2.47
HOU,C.Stroud,8,0,61,2,3.29
HOU,D.Mills,3,0,30,2,1.23
HOU,D.Ogunbowale,6,3,0,3,3.7
HOU,D.Pierce,1,0,0,0,0.41
HOU,J.Jordan,5,0,0,1,2.06
HOU,J.Noel,2,5,0,2,2.88
HOU,N.Chubb,13,2,0,6,6.17
HOU,N.Collins,1,19,0,8,8.23
HOU,W.Marks,33,8,0,11,16.87
HOU,X.Hutchinson,1,7,0,3,3.29
IND,A.Abdullah,3,1,0,1,1.49
IND,A.Dulin,2,1,0,0,1.12
IND,D.Giddens,5,1,0,1,2.23
IND,D.Jones,16,0,66,6,5.95
IND,J.Taylor,71,5,0,25,28.25
IND,R.Leonard,2,0,17,1,0.74
IND,T.Warren,4,23,1,9,10.04
JAX,B.Thomas,1,7,0,1,2.77
JAX,B.Tuten,26,2,0,8,9.69
JAX,D.Brown,1,9,0,1,3.46
JAX,J.Meyers,2,9,0,3,3.81
JAX,L.Allen,4,2,0,1,2.08
JAX,P.Washington,1,16,0,4,5.88
JAX,T.Bigsby,1,0,0,0,0.35
JAX,T.Etienne,54,10,0,13,22.15
JAX,T.Hunter,1,5,0,0,2.08
JAX,T.Lawrence,24,0,92,11,8.3
KC,B.Smith,10,7,0,3,6.72
KC,C.Oladokun,1,0,5,0,0.4
KC,I.Pacheco,20,4,0,1,9.49
KC,K.Hunt,38,5,0,16,17.0
KC,P.Mahomes,15,0,93,2,5.93
KC,R.Rice,3,19,0,10,8.7
KC,T.Kelce,1,13,0,5,5.53
LA,B.Corum,27,1,0,13,9.3
LA,J.Whittington,1,1,0,0,0.66
LA,K.Williams,53,10,0,18,20.93
LA,M.Stafford,7,0,113,3,2.33
LA,P.Nacua,1,17,0,4,5.98
LA,T.Ferguson,1,3,0,1,1.33
LAC,H.Haskins,2,0,0,0,0.83
LAC,J.Herbert,14,0,89,4,5.79
LAC,J.Patterson,6,0,0,2,2.48
LAC,K.Vidal,26,6,0,7,13.22
LAC,N.Harris,1,0,0,0,0.41
LAC,O.Hampton,26,2,0,9,11.57
LAC,T.Harris,1,5,0,0,2.48
LV,A.Jeanty,35,10,0,12,27.78
LV,G.Smith,7,0,66,2,4.32
LV,R.Mostert,4,1,0,0,3.09
LV,T.Tucker,1,10,0,1,6.79
MIA,A.Ingold,1,0,0,0,0.5
MIA,D.Achane,32,11,0,6,21.39
MIA,G.Dulcich,1,7,0,2,3.98
MIA,J.Wright,12,0,0,4,5.97
MIA,M.Washington,3,11,0,3,6.97
MIA,O.Gordon,19,2,0,6,10.45
