team,pbp_plays_pg,pbp_pass_rate,pbp_rush_rate,epa_per_play,success_rate,early_down_pass_rate,early_down_success_rate,red_zone_pass_rate,goal_line_rush_rate,penalties_pg,fumbles_pg,sacks_allowed_pg,qb_hits_allowed_pg,explosive_pass_rate,explosive_rush_rate,ot_games,ot_rate,team_identity,coach_pace_proxy
ARI,63.41,65.96,34.04,-0.0181,42.95,63.02,41.56,69.23,54.05,6.47,0.76,3.47,7.59,3.46,2.47,1,5.88,PASS-FIRST,NEUTRAL
ATL,61.88,54.56,45.44,-0.0245,43.25,48.59,44.64,49.3,64.86,6.47,1.29,1.53,4.29,3.38,3.89,2,11.76,RUN-FIRST,NEUTRAL
BAL,57.41,48.05,51.95,0.0261,43.75,41.74,43.11,40.11,59.26,5.59,1.24,2.65,4.88,3.3,5.45,0,0.0,RUN-FIRST,SLOW
BUF,64.18,49.86,50.14,0.1174,47.48,44.64,46.8,42.93,60.56,5.94,1.06,2.35,4.12,4.4,4.91,0,0.0,RUN-FIRST,FAST
CAR,59.76,54.43,45.57,-0.0463,42.32,49.35,42.12,53.95,43.75,5.94,1.18,2.06,5.06,3.26,3.42,1,5.88,RUN-FIRST,NEUTRAL
CHI,65.24,54.28,45.72,0.0729,45.27,50.0,44.0,45.11,53.85,7.12,0.94,1.41,3.94,4.13,4.61,1,5.88,RUN-FIRST,FAST
CIN,62.47,64.03,35.97,-0.0105,45.1,60.05,44.38,59.74,41.67,6.29,0.71,2.12,5.88,3.35,2.63,0,0.0,PASS-FIRST,NEUTRAL
CLE,60.82,59.09,40.91,-0.1908,34.43,54.18,32.97,52.71,63.16,7.29,0.59,3.0,7.88,2.55,2.99,0,0.0,PASS-FIRST,NEUTRAL
DAL,66.06,58.59,41.41,0.0873,46.13,52.17,46.32,55.67,47.83,7.76,1.18,1.82,5.59,3.76,3.09,2,11.76,BALANCED,FAST
DEN,64.59,58.38,41.62,0.0407,43.53,52.32,42.02,55.49,43.75,6.47,0.41,1.35,4.12,3.31,3.59,1,5.88,BALANCED,FAST
DET,62.59,58.36,41.64,0.075,44.74,52.81,44.37,52.33,55.1,5.29,0.76,2.29,7.0,4.73,3.16,1,5.88,BALANCED,NEUTRAL
GB,59.53,51.38,48.62,0.1023,46.84,46.21,44.44,45.03,67.5,5.29,1.12,1.71,4.76,4.4,4.33,2,11.76,RUN-FIRST,NEUTRAL
HOU,64.35,56.49,43.51,-0.021,40.77,51.31,39.87,53.85,46.3,6.82,0.65,1.82,4.59,3.34,2.99,0,0.0,BALANCED,FAST
IND,60.29,56.78,43.22,0.0653,45.85,53.39,46.08,47.18,64.29,6.0,1.12,1.71,4.82,3.28,3.58,2,11.76,BALANCED,NEUTRAL
JAX,64.53,55.24,44.76,0.0261,43.66,52.54,43.0,44.71,72.34,7.35,0.71,2.41,4.88,3.96,3.34,2,11.76,BALANCED,FAST
KC,62.59,59.59,40.41,0.0313,43.8,56.61,43.01,53.44,41.18,6.59,1.0,2.76,7.18,3.77,3.19,1,5.88,PASS-FIRST,NEUTRAL
LA,63.88,57.18,42.82,0.1233,50.46,53.36,51.71,55.88,54.84,5.94,0.65,1.35,4.53,5.12,3.77,2,11.76,BALANCED,NEUTRAL
LAC,64.47,57.39,42.61,-0.0377,42.52,53.22,40.43,55.03,60.0,6.24,1.0,3.53,8.06,3.16,3.58,1,5.88,BALANCED,FAST
LV,55.94,61.09,38.91,-0.2149,37.33,56.19,37.45,59.83,54.17,6.12,0.71,3.76,6.65,2.93,2.45,1,5.88,PASS-FIRST,SLOW
MIA,56.0,54.62,45.38,-0.0177,41.7,48.91,42.49,51.05,51.61,5.0,1.24,2.24,3.82,3.43,4.38,1,5.88,RUN-FIRST,SLOW
MIN,56.35,57.2,42.8,-0.1212,41.96,51.97,43.07,61.33,39.47,6.82,1.29,3.53,7.18,3.07,4.17,0,0.0,BALANCED,SLOW
NE,61.59,52.63,47.37,0.1374,47.09,47.38,46.17,46.63,52.73,6.0,1.06,2.82,5.24,5.06,3.96,0,0.0,RUN-FIRST,NEUTRAL
NO,63.41,59.46,40.54,-0.094,41.47,55.62,40.98,48.46,62.96,6.88,1.06,2.88,4.82,2.36,2.43,0,0.0,PASS-FIRST,NEUTRAL
NYG,64.06,52.98,47.02,0.0089,41.69,47.02,41.06,47.31,60.78,8.47,0.82,2.82,6.59,3.63,4.11,2,11.76,RUN-FIRST,FAST
NYJ,59.88,54.91,45.09,-0.1295,40.37,50.0,40.05,51.54,44.44,5.82,1.06,3.53,6.82,1.95,3.97,0,0.0,RUN-FIRST,NEUTRAL
PHI,59.59,52.71,47.29,0.012,42.35,48.4,41.9,41.56,67.35,5.88,0.76,2.06,3.35,3.13,4.1,1,5.88,RUN-FIRST,NEUTRAL
PIT,58.24,58.89,41.11,0.0205,43.43,53.64,42.68,51.81,60.42,5.82,1.06,1.82,3.71,3.13,3.36,0,0.0,BALANCED,NEUTRAL
SEA,59.88,50.1,49.9,0.0194,45.48,45.92,44.89,42.2,66.67,6.53,1.47,1.59,3.53,4.26,4.11,1,5.88,RUN-FIRST,NEUTRAL
SF,63.94,55.75,44.25,0.0708,47.38,51.0,45.63,50.98,48.15,4.76,0.82,1.59,4.82,3.69,3.33,1,5.88,BALANCED,NEUTRAL
TB,63.29,55.95,44.05,-0.0141,42.01,52.03,41.97,53.9,55.0,7.12,1.06,2.24,3.29,3.87,3.38,0,0.0,BALANCED,NEUTRAL
TEN,59.06,62.35,37.65,-0.1617,37.15,56.87,37.18,56.73,54.55,6.18,1.24,3.29,6.47,3.04,2.97,0,0.0,PASS-FIRST,NEUTRAL
WAS,58.65,51.15,48.85,-0.0006,45.04,45.42,44.78,40.88,56.92,7.29,1.24,2.18,4.53,3.01,4.51,2,11.76,RUN-FIRST,NEUTRAL
