season,week,matchup,away_team,home_team,travel_miles,stadium,crowd,noise,roof,surface,altitude,game_date
2025,1,ARI @ NO,ARI,NO,1323.9,Caesars Superdome,LOUD,1.015,Dome,Turf,0,2025-09-07
2025,1,BAL @ BUF,BAL,BUF,266.6,Highmark Stadium,LOUD,0.975,Outdoor,Turf,0,2025-09-07
2025,1,CAR @ JAX,CAR,JAX,341.7,,,1.0,,,0,2025-09-07
2025,1,CIN @ CLE,CIN,CLE,223.1,,,1.0,,,0,2025-09-07
2025,1,DAL @ PHI,DAL,PHI,1312.5,Lincoln Financial Field,LOUD,0.975,Outdoor,Grass,0,2025-09-04
2025,1,DET @ GB,DET,GB,292.6,Lambeau Field,LOUD,0.97,Outdoor,Grass,0,2025-09-07
2025,1,HOU @ LA,HOU,LA,,,,1.0,,,0,2025-09-07
2025,1,KC @ LAC,KC,LAC,1366.5,,,1.0,,,0,2025-09-05
2025,1,LV @ NE,LV,NE,2364.9,,,1.0,,,0,2025-09-07
2025,1,MIA @ IND,MIA,IND,1013.1,,,1.0,,,0,2025-09-07
2025,1,MIN @ CHI,MIN,CHI,355.3,Soldier Field,MODERATE,0.975,Outdoor,Grass,0,2025-09-08
2025,1,NYG @ WAS,NYG,WAS,198.1,,,1.0,,,0,2025-09-07
2025,1,PIT @ NYJ,PIT,NYJ,312.5,,,1.0,,,0,2025-09-07
2025,1,SF @ SEA,SF,SEA,704.5,Lumen Field,EXTREME,0.96,Outdoor,Turf,0,2025-09-07
2025,1,TB @ ATL,TB,ATL,414.9,Mercedes-Benz Stadium,MODERATE,1.012,Retractable,Turf,0,2025-09-07
2025,1,TEN @ DEN,TEN,DEN,1022.5,Empower Field,LOUD,0.985,Outdoor,Grass,5280,2025-09-07
2025,2,ATL @ MIN,ATL,MIN,906.8,U.S. Bank Stadium,LOUD,1.015,Dome,Turf,0,2025-09-14
2025,2,BUF @ NYJ,BUF,NYJ,277.9,,,1.0,,,0,2025-09-14
2025,2,CAR @ ARI,CAR,ARI,1787.6,,,1.0,,,0,2025-09-14
2025,2,CHI @ DET,CHI,DET,236.6,Ford Field,MODERATE,1.018,Dome,Turf,0,2025-09-14
2025,2,CLE @ BAL,CLE,BAL,308.3,,,1.0,,,0,2025-09-14
2025,2,DEN @ IND,DEN,IND,999.8,,,1.0,,,0,2025-09-14
2025,2,JAX @ CIN,JAX,CIN,627.6,,,1.0,,,0,2025-09-14
2025,2,LAC @ LV,LAC,LV,231.7,,,1.0,,,0,2025-09-15
2025,2,LA @ TEN,LA,TEN,,,,1.0,,,0,2025-09-14
2025,2,NE @ MIA,NE,MIA,1225.7,,,1.0,,,0,2025-09-14
2025,2,NYG @ DAL,NYG,DAL,1385.1,AT&T Stadium,MODERATE,1.012,Retractable,Turf,0,2025-09-14
2025,2,PHI @ KC,PHI,KC,1029.9,Arrowhead Stadium,EXTREME,0.965,Outdoor,Grass,0,2025-09-14
2025,2,SEA @ PIT,SEA,PIT,2131.6,,,1.0,,,0,2025-09-14
2025,2,SF @ NO,SF,NO,1894.4,Caesars Superdome,LOUD,1.015,Dome,Turf,0,2025-09-14
2025,2,TB @ HOU,TB,HOU,789.7,,,1.0,,,0,2025-09-15
2025,2,WAS @ GB,WAS,GB,694.0,Lambeau Field,LOUD,0.97,Outdoor,Grass,0,2025-09-11
2025,3,ARI @ SF,ARI,SF,607.9,,,1.0,,,0,2025-09-21
2025,3,ATL @ CAR,ATL,CAR,226.1,,,1.0,,,0,2025-09-21
2025,3,CIN @ MIN,CIN,MIN,604.5,U.S. Bank Stadium,LOUD,1.015,Dome,Turf,0,2025-09-21
2025,3,DAL @ CHI,DAL,CHI,816.2,Soldier Field,MODERATE,0.975,Outdoor,Grass,0,2025-09-21
2025,3,DEN @ LAC,DEN,LAC,836.8,,,1.0,,,0,2025-09-21
2025,3,DET @ BAL,DET,BAL,396.8,,,1.0,,,0,2025-09-22
2025,3,GB @ CLE,GB,CLE,382.2,,,1.0,,,0,2025-09-21
2025,3,HOU @ JAX,HOU,JAX,824.8,,,1.0,,,0,2025-09-21
2025,3,IND @ TEN,IND,TEN,250.5,,,1.0,,,0,2025-09-21
2025,3,KC @ NYG,KC,NYG,1085.7,,,1.0,,,0,2025-09-21
2025,3,LA @ PHI,LA,PHI,,Lincoln Financial Field,LOUD,0.975,Outdoor,Grass,0,2025-09-21
2025,3,LV @ WAS,LV,WAS,2094.1,,,1.0,,,0,2025-09-21
2025,3,MIA @ BUF,MIA,BUF,1164.8,Highmark Stadium,LOUD,0.975,Outdoor,Turf,0,2025-09-18
2025,3,NO @ SEA,NO,SEA,2098.1,Lumen Field,EXTREME,0.96,Outdoor,Turf,0,2025-09-21
2025,3,NYJ @ TB,NYJ,TB,1007.6,,,1.0,,,0,2025-09-21
2025,3,PIT @ NE,PIT,NE,468.2,,,1.0,,,0,2025-09-21
2025,4,BAL @ KC,BAL,KC,955.4,Arrowhead Stadium,EXTREME,0.965,Outdoor,Grass,0,2025-09-28
2025,4,CAR @ NE,CAR,NE,701.0,,,1.0,,,0,2025-09-28
2025,4,CHI @ LV,CHI,LV,1526.1,,,1.0,,,0,2025-09-28
2025,4,CIN @ DEN,CIN,DEN,1093.0,Empower Field,LOUD,0.985,Outdoor,Grass,5280,2025-09-29
2025,4,CLE @ DET,CLE,DET,90.0,Ford Field,MODERATE,1.018,Dome,Turf,0,2025-09-28
2025,4,GB @ DAL,GB,DAL,945.9,AT&T Stadium,MODERATE,1.012,Retractable,Turf,0,2025-09-28
2025,4,IND @ LA,IND,LA,,,,1.0,,,0,2025-09-28
2025,4,JAX @ SF,JAX,SF,2346.7,,,1.0,,,0,2025-09-28
2025,4,LAC @ NYG,LAC,NYG,2449.4,,,1.0,,,0,2025-09-28
2025,4,MIN @ PIT,MIN,PIT,740.3,,,1.0,,,0,2025-09-28
2025,4,NO @ BUF,NO,BUF,1084.0,Highmark Stadium,LOUD,0.975,Outdoor,Turf,0,2025-09-28
2025,4,NYJ @ MIA,NYJ,MIA,1085.5,,,1.0,,,0,2025-09-29
2025,4,PHI @ TB,PHI,TB,924.2,,,1.0,,,0,2025-09-28
2025,4,SEA @ ARI,SEA,ARI,1104.2,,,1.0,,,0,2025-09-25
2025,4,TEN @ HOU,TEN,HOU,671.5,,,1.0,,,0,2025-09-28
2025,4,WAS @ ATL,WAS,ATL,549.8,Mercedes-Benz Stadium,MODERATE,1.012,Retractable,Turf,0,2025-09-28
2025,5,DAL @ NYJ,DAL,NYJ,1385.1,,,1.0,,,0,2025-10-05
2025,5,DEN @ PHI,DEN,PHI,1576.8,Lincoln Financial Field,LOUD,0.975,Outdoor,Grass,0,2025-10-05
2025,5,DET @ CIN,DET,CIN,237.0,,,1.0,,,0,2025-10-05
2025,5,HOU @ BAL,HOU,BAL,1254.8,,,1.0,,,0,2025-10-05
2025,5,KC @ JAX,KC,JAX,944.9,,,1.0,,,0,2025-10-06
2025,5,LV @ IND,LV,IND,1594.6,,,1.0,,,0,2025-10-05
2025,5,MIA @ CAR,MIA,CAR,641.4,,,1.0,,,0,2025-10-05
2025,5,MIN @ CLE,MIN,CLE,628.5,,,1.0,,,0,2025-10-05
2025,5,NE @ BUF,NE,BUF,386.4,Highmark Stadium,LOUD,0.975,Outdoor,Turf,0,2025-10-05
2025,5,NYG @ NO,NYG,NO,1169.8,Caesars Superdome,LOUD,1.015,Dome,Turf,0,2025-10-05
2025,5,SF @ LA,SF,LA,,,,1.0,,,0,2025-10-02
2025,5,TB @ SEA,TB,SEA,2522.6,Lumen Field,EXTREME,0.96,Outdoor,Turf,0,2025-10-05
2025,5,TEN @ ARI,TEN,ARI,1452.7,,,1.0,,,0,2025-10-05
2025,5,WAS @ LAC,WAS,LAC,2310.9,,,1.0,,,0,2025-10-05
2025,6,ARI @ IND,ARI,IND,1503.4,,,1.0,,,0,2025-10-12
2025,6,BUF @ ATL,BUF,ATL,693.1,Mercedes-Benz Stadium,MODERATE,1.012,Retractable,Turf,0,2025-10-13
2025,6,CHI @ WAS,CHI,WAS,601.1,,,1.0,,,0,2025-10-13
2025,6,CIN @ GB,CIN,GB,415.7,Lambeau Field,LOUD,0.97,Outdoor,Grass,0,2025-10-12
2025,6,CLE @ PIT,CLE,PIT,114.3,,,1.0,,,0,2025-10-12
2025,6,DAL @ CAR,DAL,CAR,945.0,,,1.0,,,0,2025-10-12
2025,6,DEN @ NYJ,DEN,NYJ,1624.4,,,1.0,,,0,2025-10-12
2025,6,DET @ KC,DET,KC,640.3,Arrowhead Stadium,EXTREME,0.965,Outdoor,Grass,0,2025-10-12
2025,6,LAC @ MIA,LAC,MIA,2332.6,,,1.0,,,0,2025-10-12
2025,6,LA @ BAL,LA,BAL,,,,1.0,,,0,2025-10-12
2025,6,NE @ NO,NE,NO,1339.8,Caesars Superdome,LOUD,1.015,Dome,Turf,0,2025-10-12
2025,6,PHI @ NYG,PHI,NYG,85.4,,,1.0,,,0,2025-10-09
2025,6,SEA @ JAX,SEA,JAX,2452.6,,,1.0,,,0,2025-10-12
2025,6,SF @ TB,SF,TB,2366.9,,,1.0,,,0,2025-10-12
2025,6,TEN @ LV,TEN,LV,1579.8,,,1.0,,,0,2025-10-12
2025,7,ATL @ SF,ATL,SF,2112.2,,,1.0,,,0,2025-10-19
2025,7,CAR @ NYJ,CAR,NYJ,533.7,,,1.0,,,0,2025-10-19
2025,7,GB @ ARI,GB,ARI,1495.8,,,1.0,,,0,2025-10-19
2025,7,HOU @ SEA,HOU,SEA,1891.2,Lumen Field,EXTREME,0.96,Outdoor,Turf,0,2025-10-20
2025,7,IND @ LAC,IND,LAC,1813.1,,,1.0,,,0,2025-10-19
2025,7,LA @ JAX,LA,JAX,,,,1.0,,,0,2025-10-19
2025,7,LV @ KC,LV,KC,1149.2,Arrowhead Stadium,EXTREME,0.965,Outdoor,Grass,0,2025-10-19
2025,7,MIA @ CLE,MIA,CLE,1077.5,,,1.0,,,0,2025-10-19
2025,7,NE @ TEN,NE,TEN,924.6,,,1.0,,,0,2025-10-19
2025,7,NO @ CHI,NO,CHI,834.4,Soldier Field,MODERATE,0.975,Outdoor,Grass,0,2025-10-19
2025,7,NYG @ DEN,NYG,DEN,1624.4,Empower Field,LOUD,0.985,Outdoor,Grass,5280,2025-10-19
2025,7,PHI @ MIN,PHI,MIN,984.2,U.S. Bank Stadium,LOUD,1.015,Dome,Turf,0,2025-10-19
2025,7,PIT @ CIN,PIT,CIN,256.5,,,1.0,,,0,2025-10-16
2025,7,TB @ DET,TB,DET,992.9,Ford Field,MODERATE,1.018,Dome,Turf,0,2025-10-20
2025,7,WAS @ DAL,WAS,DAL,1207.4,AT&T Stadium,MODERATE,1.012,Retractable,Turf,0,2025-10-19
2025,8,BUF @ CAR,BUF,CAR,533.1,,,1.0,,,0,2025-10-26
2025,8,CHI @ BAL,CHI,BAL,603.5,,,1.0,,,0,2025-10-26
2025,8,CLE @ NE,CLE,NE,538.7,,,1.0,,,0,2025-10-26
2025,8,DAL @ DEN,DAL,DEN,654.2,Empower Field,LOUD,0.985,Outdoor,Grass,5280,2025-10-26
2025,8,GB @ PIT,GB,PIT,496.2,,,1.0,,,0,2025-10-26
2025,8,MIA @ ATL,MIA,ATL,593.5,Mercedes-Benz Stadium,MODERATE,1.012,Retractable,Turf,0,2025-10-26
2025,8,MIN @ LAC,MIN,LAC,1530.1,,,1.0,,,0,2025-10-23
2025,8,NYG @ PHI,NYG,PHI,85.4,Lincoln Financial Field,LOUD,0.975,Outdoor,Grass,0,2025-10-26
2025,8,NYJ @ CIN,NYJ,CIN,565.3,,,1.0,,,0,2025-10-26
2025,8,SF @ HOU,SF,HOU,1613.2,,,1.0,,,0,2025-10-26
2025,8,TB @ NO,TB,NO,477.9,Caesars Superdome,LOUD,1.015,Dome,Turf,0,2025-10-26
2025,8,TEN @ IND,TEN,IND,250.5,,,1.0,,,0,2025-10-26
2025,8,WAS @ KC,WAS,KC,945.0,Arrowhead Stadium,EXTREME,0.965,Outdoor,Grass,0,2025-10-27
2025,9,ARI @ DAL,ARI,DAL,878.4,AT&T Stadium,MODERATE,1.012,Retractable,Turf,0,2025-11-03
2025,9,ATL @ NE,ATL,NE,917.0,,,1.0,,,0,2025-11-02
2025,9,BAL @ MIA,BAL,MIA,943.9,,,1.0,,,0,2025-10-30
2025,9,CAR @ GB,CAR,GB,745.6,Lambeau Field,LOUD,0.97,Outdoor,Grass,0,2025-11-02
2025,9,CHI @ CIN,CHI,CIN,251.2,,,1.0,,,0,2025-11-02
2025,9,DEN @ HOU,DEN,HOU,882.5,,,1.0,,,0,2025-11-02
2025,9,IND @ PIT,IND,PIT,328.3,,,1.0,,,0,2025-11-02
2025,9,JAX @ LV,JAX,LV,1969.6,,,1.0,,,0,2025-11-02
2025,9,KC @ BUF,KC,BUF,857.6,Highmark Stadium,LOUD,0.975,Outdoor,Turf,0,2025-11-02
2025,9,LAC @ TEN,LAC,TEN,1784.1,,,1.0,,,0,2025-11-02
2025,9,MIN @ DET,MIN,DET,541.5,Ford Field,MODERATE,1.018,Dome,Turf,0,2025-11-02
2025,9,NO @ LA,NO,LA,,,,1.0,,,0,2025-11-02
2025,9,SEA @ WAS,SEA,WAS,2329.6,,,1.0,,,0,2025-11-02
