team,sacks_allowed_pg,qb_hits_allowed_pg,explosive_rush_rate,ol_pass_pro_rank,pressure_allowed_rank,ol_run_block_proxy_rank
ARI,3.47,7.59,2.47,28,30,30
ATL,1.53,4.29,3.89,4,9,13
BAL,2.65,4.88,5.45,21,17,1
BUF,2.35,4.12,4.91,19,7,2
CAR,2.06,5.06,3.42,12,19,18
CHI,1.41,3.94,4.61,3,6,3
CIN,2.12,5.88,2.63,14,22,29
CLE,3.0,7.88,2.99,26,31,26
DAL,1.82,5.59,3.09,9,21,25
DEN,1.35,4.12,3.59,1,7,15
DET,2.29,7.0,3.16,18,27,24
GB,1.71,4.76,4.33,7,13,6
HOU,1.82,4.59,2.99,9,12,26
IND,1.71,4.82,3.58,7,14,16
JAX,2.41,4.88,3.34,20,17,21
KC,2.76,7.18,3.19,22,28,23
LA,1.35,4.53,3.77,1,10,14
LAC,3.53,8.06,3.58,29,32,16
LV,3.76,6.65,2.45,32,25,31
MIA,2.24,3.82,4.38,16,5,5
MIN,3.53,7.18,4.17,29,28,7
NE,2.82,5.24,3.96,23,20,12
NO,2.88,4.82,2.43,25,14,32
NYG,2.82,6.59,4.11,23,24,8
NYJ,3.53,6.82,3.97,29,26,11
PHI,2.06,3.35,4.1,12,2,10
PIT,1.82,3.71,3.36,9,4,20
SEA,1.59,3.53,4.11,5,3,8
SF,1.59,4.82,3.33,5,14,22
TB,2.24,3.29,3.38,16,1,19
TEN,3.29,6.47,2.97,27,23,28
WAS,2.18,4.53,4.51,15,10,4
