player,team,position,games_played,pass_attempts_pg,completions_pg,passing_yards_pg,passing_tds_pg,interceptions_pg,rush_attempts_pg,rushing_yards_pg,snap_share,red_zone_pass_attempts,fantasy_points_pg
A.Dalton,CAR,QB,3,15.0,8.333,97.667,0.333,0.333,1.333,-0.333,0.0,7.0,4.873
A.McNamara,NYJ,QB,1,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,,0.12
A.O'Connell,LV,QB,1,23.0,10.0,102.0,0.0,0.0,1.0,7.0,0.0,2.0,4.78
A.Richardson,IND,QB,1,2.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,,2.26
A.Rodgers,PIT,QB,16,33.062,20.438,207.625,1.5,0.438,1.312,3.812,0.0,81.0,14.63
B.Allen,TEN,QB,1,31.0,17.0,72.0,0.0,1.0,0.0,0.0,0.0,,1.88
B.Cook,NYJ,QB,5,34.6,17.6,147.8,0.4,1.4,2.6,9.8,0.0,20.0,7.092
B.Hall,NYJ,QB,1,1.0,1.0,4.0,1.0,0.0,18.0,133.0,0.0,1.0,32.86
B.Mayfield,TB,QB,17,34.412,20.176,217.235,1.529,0.647,3.235,22.471,0.0,76.0,16.76
B.Nix,DEN,QB,17,37.588,22.824,231.235,1.471,0.647,4.882,20.941,0.0,95.0,18.344
B.Purdy,SF,QB,9,33.111,21.889,240.778,2.222,1.111,3.667,16.333,0.0,60.0,21.042
B.Rypien,CIN,QB,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
B.Young,CAR,QB,16,31.75,19.0,188.188,1.438,0.688,3.375,13.5,0.0,75.0,14.69
C.Akers,MIN,QB,1,1.0,1.0,32.0,1.0,0.0,0.0,0.0,0.0,,5.28
C.Bojorquez,CLE,QB,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
C.Kmet,CHI,QB,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
C.Kupp,SEA,QB,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.2
C.McCaffrey,SF,QB,1,1.0,0.0,0.0,0.0,0.0,20.0,53.0,0.0,1.0,17.4
C.Oladokun,KC,QB,3,21.0,11.667,78.333,0.333,0.0,1.667,6.0,0.0,5.0,5.067
C.Olave,NO,QB,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,10.0
C.Rush,BAL,QB,3,17.667,11.333,101.0,0.0,1.333,0.333,0.0,0.0,1.0,2.707
C.Stroud,HOU,QB,14,32.071,19.5,217.214,1.357,0.571,3.429,14.929,0.0,61.0,15.467
C.Sutton,DEN,QB,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4
C.Tune,GB,QB,2,10.0,3.5,21.0,0.0,0.5,2.5,11.5,0.0,1.0,1.49
C.Ward,TEN,QB,17,35.0,19.0,186.412,0.882,0.412,2.294,9.353,0.0,59.0,12.215
C.Wentz,MIN,QB,5,37.8,22.0,243.2,1.2,1.0,2.2,11.4,0.0,39.0,14.668
C.Williams,CHI,QB,17,35.059,19.412,231.882,1.588,0.412,4.529,22.529,0.0,82.0,19.128
D.Gabriel,CLE,QB,10,20.5,11.0,93.7,0.7,0.2,1.4,8.6,0.0,35.0,7.208
D.Henry,BAL,QB,1,1.0,0.0,0.0,0.0,0.0,12.0,50.0,0.0,1.0,12.7
D.Jones,IND,QB,13,31.615,20.077,238.538,1.462,0.615,3.462,12.385,0.0,66.0,18.318
D.Lock,SEA,QB,1,3.0,2.0,15.0,0.0,0.0,1.0,-1.0,0.0,,0.5
D.Maye,NE,QB,17,31.765,20.824,258.471,1.824,0.471,6.118,26.471,0.0,83.0,21.292
D.Mills,HOU,QB,6,28.167,15.167,152.5,0.833,0.167,2.333,10.0,0.0,30.0,11.267
D.Montgomery,DET,QB,3,1.0,0.333,1.0,0.333,0.0,11.333,46.333,0.0,2.0,12.507
D.Moore,CHI,QB,1,1.0,1.0,2.0,1.0,0.0,1.0,17.0,0.0,1.0,22.98
D.Prescott,DAL,QB,17,37.294,23.765,267.765,1.765,0.588,3.118,10.412,0.0,111.0,18.928
D.Singletary,NYG,QB,1,1.0,0.0,0.0,0.0,0.0,9.0,26.0,0.0,1.0,8.6
G.Minshew,KC,QB,2,6.5,3.0,18.5,0.0,0.5,0.5,4.0,0.0,,0.64
G.Olszewski,NYG,QB,2,1.0,0.5,16.5,0.5,0.0,0.0,0.0,0.0,1.0,11.76
G.Smith,LV,QB,15,33.667,20.133,201.667,1.267,1.133,2.733,7.267,0.0,66.0,12.727
I.Williams,NYJ,QB,1,1.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,1.6
J.Allen,BUF,QB,16,31.688,19.938,229.25,1.562,0.625,7.0,36.188,0.0,77.0,23.664
J.Brissett,ARI,QB,13,40.846,24.231,258.923,1.769,0.615,2.846,12.769,0.0,96.0,18.557
J.Browning,CIN,QB,5,26.8,16.2,154.2,1.2,1.6,1.8,7.8,0.0,12.0,11.348
J.Burrow,CIN,QB,8,34.75,21.625,226.125,2.125,0.625,1.75,5.125,0.0,44.0,17.432
J.Daniels,WAS,QB,7,29.571,16.286,180.286,1.143,0.429,8.429,39.714,0.0,26.0,17.04
J.Dart,NYG,QB,12,31.333,18.0,189.333,1.25,0.417,7.0,40.583,0.0,56.0,20.715
J.Dobbs,NE,QB,4,2.5,1.75,16.25,0.0,0.0,2.5,-1.25,0.0,,0.525
