player,team,position,games_played,rush_attempts_pg,rushing_yards_pg,rushing_tds,targets_pg,receptions_pg,receiving_yards_pg,carries_share,snap_share,red_zone_carries,goal_line_touches,fantasy_points_pg
A.Abdullah,IND,,12,1.167,5.0,1.0,1.417,1.333,8.25,3.16,0.0,3.0,1.0,3.158
A.Barner,SEA,,17,0.588,0.824,1.0,4.0,3.059,30.529,1.97,0.0,3.0,4.0,8.665
A.Beck,NYJ,,7,0.143,0.714,0.0,1.286,0.857,6.429,0.22,0.0,1.0,2.0,3.286
A.Dalton,CAR,,1,1.0,-1.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,-0.1
A.Dillon,PHI,,6,2.0,10.0,0.0,0.5,0.5,3.5,2.51,0.0,2.0,0.0,1.85
A.Dulin,IND,,7,0.429,6.286,0.0,1.429,0.714,15.143,0.68,0.0,2.0,0.0,2.857
A.Ekeler,WAS,,2,7.0,21.5,0.0,3.5,2.5,19.0,2.87,0.0,2.0,0.0,6.55
A.Estime,NO,,5,9.2,39.6,1.0,2.6,2.4,20.6,10.53,0.0,6.0,3.0,9.62
A.Gibson,NE,,5,5.0,21.2,1.0,0.6,0.4,1.2,5.04,0.0,4.0,2.0,3.84
A.Ingold,MIA,,9,0.222,1.0,0.0,1.222,0.889,5.778,0.46,0.0,1.0,0.0,1.567
A.Iosivas,CIN,,15,0.2,0.933,0.0,3.867,2.2,29.0,0.79,0.0,0.0,3.0,5.993
A.Jeanty,LV,,17,15.706,57.353,5.0,4.294,3.235,20.353,72.16,0.0,35.0,12.0,14.535
A.Johnson,LAC,,1,2.0,8.0,0.0,1.0,0.0,0.0,0.43,0.0,,,0.8
A.Jones,MIN,,12,11.0,45.667,2.0,3.417,2.333,16.583,32.2,0.0,14.0,3.0,10.058
A.Kamara,NO,,11,11.909,42.818,1.0,3.545,3.0,16.909,29.98,0.0,15.0,2.0,9.518
A.Martinez,SF,,1,1.0,-1.0,0.0,0.0,0.0,0.0,0.21,0.0,,,-0.1
A.Mitchell,NYJ,,8,0.125,-0.5,0.0,7.25,3.0,37.625,0.22,0.0,0.0,0.0,8.212
A.Prentice,DEN,,12,0.833,3.667,0.0,0.667,0.5,4.417,2.19,0.0,2.0,2.0,1.308
A.Richardson,IND,,1,4.0,-1.0,0.0,0.0,0.0,0.0,0.9,0.0,,,-0.1
A.Smith,NYJ,,12,0.333,1.083,0.0,1.333,0.583,4.333,0.87,0.0,,,1.125
A.St. Brown,DET,,17,0.176,0.529,0.0,10.118,6.882,82.412,0.68,0.0,1.0,9.0,19.059
B.Allen,NYJ,,4,4.75,19.0,1.0,0.75,0.5,4.25,4.14,0.0,7.0,2.0,4.325
B.Aubrey,DAL,,1,1.0,6.0,0.0,0.0,0.0,0.0,0.22,0.0,,,0.6
B.Bowers,LV,,12,0.167,0.167,0.0,7.25,5.333,56.667,0.54,0.0,0.0,3.0,14.517
B.Brooks,HOU,,3,5.667,26.0,0.0,0.0,0.0,0.0,3.57,0.0,2.0,2.0,2.6
B.Brown,CHI,,1,5.0,37.0,1.0,1.0,0.0,0.0,0.99,0.0,,,9.7
B.Corum,LA,,17,8.529,43.882,6.0,0.824,0.471,2.118,31.18,0.0,27.0,13.0,7.188
B.Hall,NYJ,,15,15.0,62.133,2.0,3.0,2.267,22.4,49.02,0.0,24.0,5.0,11.92
B.Irving,TB,,10,17.3,58.8,1.0,3.5,3.0,27.7,36.5,0.0,18.0,0.0,14.05
B.Mann,PHI,,1,1.0,-34.0,0.0,0.0,0.0,0.0,0.21,0.0,,,-3.4
B.Melton,GB,,8,0.625,4.375,0.0,1.625,0.5,13.375,1.02,0.0,,,3.025
B.Robinson,ATL,,17,16.941,86.941,7.0,6.059,4.647,48.235,60.25,0.0,36.0,12.0,22.047
B.Robinson,SF,,16,5.75,25.0,2.0,0.75,0.5,1.562,19.13,0.0,13.0,3.0,3.906
B.Smith,KC,,15,2.933,10.067,0.0,2.333,1.667,11.467,10.23,0.0,10.0,3.0,4.22
B.Thomas,JAX,,14,0.214,1.5,1.0,6.5,3.429,50.5,0.61,0.0,1.0,1.0,9.914
B.Tuten,JAX,,15,5.6,20.467,5.0,0.933,0.667,5.267,17.11,0.0,26.0,8.0,6.04
C.Akers,MIN,,1,5.0,19.0,0.0,1.0,0.0,0.0,1.22,0.0,,,1.9
C.Brooks,GB,,14,1.929,7.571,0.0,1.214,0.929,6.5,5.49,0.0,3.0,0.0,2.336
C.Brown,CIN,,17,13.706,59.941,6.0,5.235,4.059,24.353,60.99,0.0,37.0,17.0,16.371
C.Dike,TEN,,17,0.647,1.059,0.0,4.353,2.824,24.882,2.91,0.0,2.0,5.0,6.829
C.Edwards-Helaire,KC,,2,3.5,6.5,0.0,1.0,1.0,4.5,1.63,0.0,,,2.1
C.Ham,MIN,,4,0.75,1.25,2.0,0.5,0.5,2.75,0.73,0.0,2.0,2.0,3.9
C.Hubbard,CAR,,15,9.0,34.067,1.0,2.6,2.0,14.867,29.16,0.0,19.0,5.0,8.493
C.Kiner,ARI,,4,3.0,14.5,0.0,0.75,0.5,3.75,3.27,0.0,2.0,0.0,2.325
C.Lamb,DAL,,13,0.077,0.154,0.0,9.0,5.769,82.846,0.22,0.0,0.0,4.0,15.454
C.Loveland,CHI,,16,0.062,-0.125,0.0,5.188,3.625,44.562,0.2,0.0,1.0,5.0,10.319
C.McCaffrey,SF,,16,18.188,71.812,9.0,7.812,6.125,55.188,60.5,0.0,75.0,24.0,24.825
C.Moore,WAS,,8,0.125,1.125,0.0,2.875,1.375,25.875,0.21,0.0,0.0,0.0,4.825
C.Olave,NO,,15,0.067,-0.2,0.0,10.0,6.467,76.2,0.23,0.0,0.0,2.0,17.267
C.Reynolds,DET,,1,3.0,4.0,0.0,0.0,0.0,0.0,0.68,0.0,,,0.4
C.Rodriguez,WAS,,12,9.333,41.667,6.0,0.333,0.25,2.5,23.0,0.0,33.0,14.0,7.667
C.Rush,BAL,,1,3.0,-4.0,0.0,0.0,0.0,0.0,0.59,0.0,0.0,0.0,-0.4
C.Skattebo,NYG,,8,12.75,51.25,5.0,4.0,3.0,25.875,19.92,0.0,24.0,10.0,15.962
C.Stover,HOU,,6,0.667,0.5,0.0,2.667,2.0,12.667,0.84,0.0,3.0,0.0,3.317
C.Watson,GB,,10,0.1,0.3,0.0,5.5,3.5,61.1,0.2,0.0,1.0,2.0,13.24
Co.Heyward,PIT,,11,1.364,3.909,2.0,0.364,0.273,1.909,3.69,0.0,6.0,4.0,2.491
D.Achane,MIA,,16,14.875,84.375,8.0,5.312,4.188,30.062,55.09,0.0,32.0,6.0,20.131
D.Brown,JAX,,11,0.545,2.727,0.0,3.364,1.818,20.636,1.22,0.0,1.0,1.0,4.7
D.Dallas,CAR,,1,1.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,1.0,0.0,0.0
D.Dallas,JAX,,1,2.0,21.0,0.0,1.0,0.0,0.0,0.41,0.0,,,2.1
D.Davis,LAC,,5,0.4,1.0,0.0,0.6,0.4,2.0,0.43,0.0,,,0.7
D.Douglas,NE,,16,0.438,1.312,0.0,2.875,1.938,27.938,1.41,0.0,1.0,2.0,5.988
D.Giddens,IND,,5,5.2,19.2,0.0,0.4,0.0,0.0,5.87,0.0,5.0,1.0,1.92
D.Henry,BAL,,16,18.438,96.562,15.0,1.25,0.875,8.938,58.19,0.0,63.0,27.0,17.05
D.Johnson,ARI,,1,1.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,,,0.0
D.Johnson,NE,,4,3.25,6.25,0.0,0.0,0.0,0.0,2.62,0.0,1.0,1.0,0.625
D.Laube,LV,,4,1.75,2.25,0.0,1.0,0.75,4.5,1.89,0.0,,,1.425
D.Lock,SEA,,2,2.5,-2.0,0.0,0.0,0.0,0.0,0.98,0.0,,,-0.2
D.Metcalf,PIT,,15,0.133,0.8,1.0,6.6,3.933,56.667,0.49,0.0,1.0,6.0,12.48
D.Montgomery,DET,,14,8.929,41.214,6.0,1.786,1.429,11.214,28.22,0.0,35.0,17.0,9.243
D.Moore,CAR,,2,0.5,6.0,0.0,0.5,0.5,2.5,0.22,0.0,,,1.35
D.Moore,CHI,,16,0.875,3.875,0.0,4.938,2.875,37.188,2.76,0.0,2.0,5.0,9.231
D.Neal,NO,,9,6.333,22.889,2.0,2.111,1.889,11.556,13.04,0.0,5.0,2.0,6.667
D.Ogunbowale,HOU,,9,1.222,2.778,1.0,1.444,1.111,8.444,2.31,0.0,6.0,3.0,2.9
D.Pierce,HOU,,2,5.0,13.0,0.0,0.5,0.0,0.0,2.1,0.0,1.0,0.0,1.3
D.Pierce,KC,,1,4.0,10.0,0.0,0.0,0.0,0.0,0.93,0.0,,,1.0
D.Robinson,SF,,14,0.071,0.429,0.0,2.571,1.571,19.714,0.21,0.0,0.0,2.0,4.014
D.Sample,CIN,,11,0.091,0.273,0.0,1.818,1.364,9.636,0.26,0.0,0.0,1.0,2.9
D.Sampson,CLE,,15,4.333,11.667,0.0,2.667,2.2,18.067,15.37,0.0,7.0,0.0,5.973
D.Samuel,WAS,,16,1.062,4.688,1.0,6.25,4.5,45.438,3.49,0.0,4.0,5.0,11.762
D.Singletary,NYG,,16,6.875,25.688,4.0,1.188,1.125,9.438,21.48,0.0,22.0,11.0,6.137
D.Swift,CHI,,16,13.938,67.938,9.0,3.0,2.125,18.125,43.98,0.0,40.0,14.0,14.481
D.Thompkins,ATL,,2,0.5,2.5,0.0,1.5,1.5,13.5,0.21,0.0,,,3.1
D.Waller,MIA,,8,0.125,0.5,0.0,4.375,3.0,35.375,0.23,0.0,0.0,3.0,11.088
D.Wicks,GB,,13,0.077,0.462,0.0,3.538,2.308,25.538,0.2,0.0,0.0,1.0,5.831
E.Demercado,ARI,,11,4.0,28.364,0.0,1.818,1.182,9.182,11.99,0.0,5.0,1.0,5.482
E.Egbuka,TB,,17,0.176,0.529,0.0,7.529,3.706,55.176,0.63,0.0,1.0,4.0,11.394
E.Engram,DEN,,16,0.062,0.438,0.0,4.812,3.125,28.812,0.22,0.0,0.0,1.0,6.425
E.Hull,NO,,6,3.167,8.0,0.0,0.167,0.167,1.0,4.35,0.0,3.0,0.0,1.067
E.Moore,BUF,,9,0.667,2.667,1.0,1.889,1.0,12.444,1.1,0.0,1.0,1.0,3.178
E.Wilson,GB,,16,7.812,31.0,3.0,1.125,0.938,6.188,25.41,0.0,24.0,5.0,5.781
F.Franks,ATL,,2,1.0,2.0,0.0,0.0,0.0,0.0,0.42,0.0,,,0.2
G.Dortch,ARI,,12,0.583,1.25,1.0,2.75,2.417,17.167,1.91,0.0,3.0,1.0,6.258
G.Dulcich,MIA,,9,0.111,-0.778,0.0,3.778,2.889,37.222,0.23,0.0,1.0,2.0,7.2
G.Holani,SEA,,4,5.5,18.25,1.0,0.5,0.5,3.75,4.33,0.0,5.0,0.0,4.2
G.Kittle,SF,,11,0.091,-0.273,0.0,6.273,5.182,57.091,0.21,0.0,1.0,3.0,14.682
G.Larvadain,CLE,,7,0.143,0.429,0.0,2.143,1.0,10.143,0.24,0.0,0.0,1.0,2.057
G.Minshew,KC,,2,2.5,-3.0,0.0,0.0,0.0,0.0,1.16,0.0,,,-0.3
G.Stuard,DET,,1,1.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,,,0.0
H.Fannin,CLE,,16,0.438,0.812,1.0,6.75,4.5,45.688,1.65,0.0,2.0,4.0,11.775
H.Haskins,LAC,,5,3.4,9.4,0.0,0.8,0.8,2.6,3.64,0.0,2.0,0.0,2.0
H.Luepke,DAL,,11,1.455,6.455,0.0,1.364,1.182,9.909,3.44,0.0,1.0,1.0,3.364
I.Bond,CLE,,15,0.333,1.933,0.0,2.933,1.2,21.133,1.18,0.0,0.0,1.0,3.507
I.Davis,NYJ,,15,2.867,15.733,1.0,1.933,1.4,12.4,9.37,0.0,9.0,1.0,4.613
I.Pacheco,KC,,13,9.077,35.538,1.0,2.0,1.462,7.769,27.44,0.0,20.0,1.0,6.715
I.Pola-Mao,LV,,1,1.0,3.0,0.0,0.0,0.0,0.0,0.27,0.0,,,0.3
I.Williams,NYJ,,8,0.25,3.75,0.0,4.0,3.125,23.875,0.44,0.0,0.0,0.0,5.888
J.Addison,MIN,,14,0.143,5.786,1.0,5.643,3.0,43.571,0.49,0.0,0.0,3.0,9.65
J.Blue,DAL,,5,7.6,25.8,1.0,0.2,0.2,1.0,8.17,0.0,7.0,1.0,4.08
J.Brissett,ARI,,1,1.0,2.0,0.0,0.0,0.0,0.0,0.27,0.0,5.0,3.0,0.2
J.Chase,CIN,,16,0.188,0.875,0.0,11.562,7.812,88.25,0.79,0.0,0.0,2.0,19.725
J.Chestnut,TEN,,7,1.571,5.714,0.0,0.286,0.0,0.0,2.91,0.0,4.0,2.0,0.571
J.Conner,ARI,,3,10.667,31.667,1.0,3.0,2.667,12.667,8.72,0.0,5.0,4.0,11.1
J.Cook,BUF,,17,18.176,95.353,12.0,2.353,1.941,17.118,56.49,0.0,56.0,17.0,18.129
J.Croskey-Merritt,WAS,,17,10.353,47.353,8.0,0.765,0.529,4.0,36.14,0.0,32.0,13.0,8.488
J.Dart,NYG,,2,1.0,0.0,0.0,0.0,0.0,0.0,0.39,0.0,22.0,7.0,0.0
J.Dobbins,DEN,,10,15.3,77.2,4.0,1.4,1.1,3.7,33.48,0.0,20.0,7.0,11.59
J.Downs,IND,,16,0.125,-0.125,0.0,5.5,3.625,34.938,0.45,0.0,0.0,2.0,8.606
J.Ferguson,DAL,,17,0.059,0.059,0.0,6.059,4.824,35.294,0.22,0.0,0.0,9.0,11.182
J.Flacco,CIN,,1,1.0,2.0,0.0,0.0,0.0,0.0,0.26,0.0,5.0,1.0,0.2
J.Ford,CLE,,13,1.846,5.615,0.0,2.462,2.0,7.923,5.67,0.0,4.0,3.0,3.354
J.Garoppolo,LA,,3,3.0,-3.333,0.0,0.0,0.0,0.0,1.94,0.0,,,-0.333
J.Gibbs,DET,,17,14.294,71.941,13.0,5.529,4.529,36.059,54.85,0.0,52.0,12.0,21.682
J.Gillan,NYG,,1,1.0,-13.0,0.0,0.0,0.0,0.0,0.2,0.0,,,-1.3
J.Hill,BAL,,9,2.0,10.333,2.0,3.0,2.333,18.778,3.55,0.0,3.0,1.0,7.244
J.Jacobs,GB,,15,15.6,61.933,13.0,2.933,2.4,18.8,47.56,0.0,52.0,20.0,16.073
J.Jefferson,MIN,,17,0.118,0.412,0.0,8.353,4.941,61.647,0.49,0.0,0.0,6.0,11.853
J.Jeudy,CLE,,17,0.059,0.294,0.0,6.235,2.941,35.412,0.24,0.0,0.0,0.0,7.218
J.Jordan,HOU,,4,10.75,48.25,0.0,1.75,1.75,8.5,9.03,0.0,5.0,1.0,7.425
J.Lane,WAS,,13,0.077,0.538,0.0,2.462,1.231,17.308,0.21,0.0,0.0,0.0,3.015
J.Mason,MIN,,16,9.938,47.375,6.0,1.0,0.875,3.188,38.78,0.0,29.0,7.0,8.181
J.McLaughlin,DEN,,8,4.625,23.375,1.0,0.75,0.5,3.375,8.1,0.0,5.0,1.0,3.925
J.McMillan,TB,,4,0.25,0.25,0.0,3.75,3.0,44.5,0.21,0.0,1.0,0.0,7.475
J.McNichols,WAS,,16,2.812,13.812,1.0,2.0,1.562,12.25,9.24,0.0,6.0,3.0,4.544
J.Metchie,NYJ,,9,0.333,-0.556,0.0,4.889,3.222,28.444,0.65,0.0,0.0,0.0,7.344
J.Meyers,JAX,,9,0.556,1.444,0.0,6.778,4.667,53.667,1.02,0.0,2.0,3.0,12.178
J.Milroe,SEA,,3,1.0,1.333,0.0,0.0,0.0,0.0,0.59,0.0,,,0.133
J.Nailor,MIN,,17,0.118,0.765,0.0,3.176,1.706,26.118,0.49,0.0,0.0,5.0,5.806
J.Noel,HOU,,14,0.429,0.857,0.0,2.5,1.857,20.857,1.26,0.0,2.0,2.0,4.886
J.Patterson,LAC,,6,6.833,26.5,1.0,0.667,0.5,1.333,8.78,0.0,6.0,2.0,4.283
J.Reed,GB,,5,0.6,5.6,0.0,4.4,3.8,41.4,0.61,0.0,0.0,0.0,9.7
J.Saylors,DET,,1,2.0,11.0,0.0,0.0,0.0,0.0,0.45,0.0,,,1.1
J.Smith,PIT,,17,0.529,4.118,1.0,3.235,2.235,13.059,2.21,0.0,2.0,3.0,5.012
J.Smith-Njigba,SEA,,17,0.412,2.118,0.0,9.588,7.0,105.471,1.38,0.0,0.0,3.0,21.288
J.Stidham,DEN,,1,1.0,-1.0,0.0,0.0,0.0,0.0,0.22,0.0,,,-0.1
J.Taylor,IND,,17,19.059,93.235,18.0,3.294,2.706,22.235,73.14,0.0,71.0,25.0,21.312
J.Waddle,MIA,,15,0.133,1.867,0.0,6.133,3.867,54.333,0.46,0.0,0.0,4.0,11.887
J.Warren,PIT,,16,13.188,59.875,6.0,2.812,2.5,20.812,51.84,0.0,40.0,15.0,13.569
J.Whittington,LA,,13,0.231,0.923,0.0,1.923,1.385,13.154,0.65,0.0,1.0,0.0,2.792
J.Williams,DAL,,16,15.75,75.062,11.0,3.188,2.188,8.562,54.19,0.0,54.0,24.0,15.425
J.Williams,DET,,17,0.353,0.706,0.0,6.0,3.824,65.235,1.35,0.0,1.0,1.0,12.888
J.Williams,TB,,1,4.0,11.0,0.0,0.0,0.0,0.0,0.84,0.0,,,1.1
