player,team,position,games_played,targets_pg,receptions_pg,receiving_yards_pg,receiving_tds,target_share,air_yards_share,air_yards_pg,snap_share,route_participation,red_zone_targets,goal_line_touches,fantasy_points_pg
A.Abdullah,IND,,12,1.417,1.333,8.25,0.0,3.17,-0.07,-0.25,0.0,0.0,1.0,1.0,3.158
A.Baccellia,ARI,,2,2.0,1.0,4.0,0.0,0.65,0.16,3.5,0.0,0.0,2.0,0.0,1.4
A.Bachman,LV,,3,1.0,0.667,4.0,0.0,0.6,0.44,4.667,0.0,0.0,,,1.067
A.Barner,SEA,,17,4.0,3.059,30.529,6.0,14.88,8.11,17.471,0.0,0.0,13.0,4.0,8.665
A.Beck,NYJ,,7,1.286,0.857,6.429,2.0,1.89,1.18,5.429,0.0,0.0,2.0,2.0,3.286
A.Brown,PHI,,15,8.067,5.2,66.867,7.0,25.97,33.83,95.0,0.0,0.0,13.0,2.0,14.687
A.Cappa,LV,,1,1.0,0.0,0.0,0.0,0.2,0.06,2.0,0.0,0.0,1.0,1.0,0.0
A.Dillon,PHI,,6,0.5,0.5,3.5,0.0,0.64,0.28,2.0,0.0,0.0,1.0,0.0,1.85
A.Dulin,IND,,7,1.429,0.714,15.143,0.0,1.87,3.7,22.571,0.0,0.0,1.0,0.0,2.857
A.Ekeler,WAS,,2,3.5,2.5,19.0,0.0,1.61,0.32,6.0,0.0,0.0,0.0,0.0,6.55
A.Estime,NO,,5,2.6,2.4,20.6,0.0,2.3,-0.04,-0.4,0.0,0.0,0.0,3.0,9.62
A.Firkser,DET,,5,2.0,1.6,10.6,0.0,1.82,0.95,7.0,0.0,0.0,3.0,0.0,2.66
A.Gibson,NE,,5,0.6,0.4,1.2,0.0,0.62,-0.13,-1.2,0.0,0.0,0.0,2.0,3.84
A.Gould,IND,,2,1.0,1.0,3.0,0.0,0.37,-0.05,-1.0,0.0,0.0,,,1.3
A.Hooper,NE,,13,2.0,1.615,20.231,2.0,5.38,5.23,18.0,0.0,0.0,5.0,3.0,4.562
A.Ingold,MIA,,9,1.222,0.889,5.778,0.0,2.37,1.24,4.556,0.0,0.0,0.0,0.0,1.567
A.Iosivas,CIN,,15,3.867,2.2,29.0,2.0,9.49,13.27,40.4,0.0,0.0,7.0,3.0,5.993
A.Jeanty,LV,,17,4.294,3.235,20.353,5.0,14.72,-3.25,-6.118,0.0,0.0,10.0,12.0,14.535
A.Johnson,LAC,,1,1.0,0.0,0.0,0.0,0.18,-0.05,-2.0,0.0,0.0,,,0.8
A.Jones,MIN,,12,3.417,2.333,16.583,1.0,8.69,-0.67,-2.083,0.0,0.0,5.0,3.0,10.058
A.Kamara,NO,,11,3.545,3.0,16.909,0.0,6.89,0.71,3.0,0.0,0.0,5.0,2.0,9.518
A.Lazard,NYJ,,9,2.0,1.111,7.778,1.0,3.77,4.41,15.778,0.0,0.0,6.0,3.0,2.556
A.Mitchell,IND,,8,2.0,1.125,19.0,0.0,2.99,6.04,32.25,0.0,0.0,,,3.025
A.Mitchell,NYJ,,8,7.25,3.0,37.625,2.0,12.16,26.23,105.5,0.0,0.0,8.0,0.0,8.212
A.Ogletree,IND,,4,1.5,1.0,6.75,1.0,1.12,0.98,10.5,0.0,0.0,2.0,1.0,3.175
A.Okwuegbunam,LV,,1,6.0,5.0,36.0,0.0,1.21,0.56,18.0,0.0,0.0,1.0,0.0,8.6
A.Pierce,IND,,15,5.6,3.133,66.867,6.0,15.67,37.26,106.2,0.0,0.0,9.0,1.0,12.22
A.Prentice,DEN,,12,0.667,0.5,4.417,0.0,1.36,0.21,0.75,0.0,0.0,2.0,2.0,1.308
A.Richardson,IND,QB,1,1.0,1.0,9.0,0.0,0.19,0.05,2.0,0.0,0.0,,,2.26
A.Rodgers,PIT,QB,16,0.062,0.062,-0.562,0.0,0.19,-0.28,-0.562,0.0,0.0,0.0,2.0,14.63
A.Smith,NYJ,,12,1.333,0.583,4.333,0.0,3.35,6.71,18.0,0.0,0.0,,,1.125
A.St. Brown,DET,,17,10.118,6.882,82.412,11.0,31.27,37.84,81.765,0.0,0.0,35.0,9.0,19.059
A.Thielen,MIN,,9,2.111,0.889,7.667,0.0,4.03,3.89,16.111,0.0,0.0,2.0,1.0,1.656
A.Thielen,PIT,,5,3.4,2.2,23.4,0.0,3.24,5.09,32.2,0.0,0.0,2.0,0.0,4.54
A.Trammell,JAX,,5,2.0,0.6,9.2,0.0,1.82,2.66,26.0,0.0,0.0,1.0,0.0,1.52
A.Trautman,DEN,,11,2.091,1.818,17.727,1.0,3.9,2.42,9.636,0.0,0.0,1.0,1.0,4.136
B.Allen,NYJ,,4,0.75,0.5,4.25,0.0,0.63,0.25,2.0,0.0,0.0,2.0,2.0,4.325
B.Bates,CLE,,3,1.0,0.667,8.333,0.0,0.57,0.45,5.333,0.0,0.0,1.0,1.0,1.5
B.Bates,HOU,,1,2.0,2.0,23.0,0.0,0.36,0.5,23.0,0.0,0.0,,,4.3
B.Berrios,HOU,,2,4.0,3.0,18.5,0.0,1.44,0.52,12.0,0.0,0.0,2.0,0.0,4.85
B.Bowers,LV,,12,7.25,5.333,56.667,7.0,17.54,17.51,46.667,0.0,0.0,18.0,3.0,14.517
B.Brown,CHI,,1,1.0,0.0,0.0,0.0,0.19,0.09,4.0,0.0,0.0,,,9.7
B.Collins,NYG,,3,2.0,0.667,8.333,0.0,1.19,1.69,24.333,0.0,0.0,1.0,0.0,1.5
B.Cooks,BUF,,4,2.75,1.25,28.5,0.0,2.25,8.16,71.25,0.0,0.0,,,4.1
B.Cooks,NO,,9,2.778,2.111,18.333,0.0,4.42,4.94,25.667,0.0,0.0,1.0,0.0,3.944
B.Corum,LA,,17,0.824,0.471,2.118,0.0,2.41,0.47,1.471,0.0,0.0,1.0,13.0,7.188
B.Covey,PHI,,1,4.0,2.0,20.0,0.0,0.86,0.19,8.0,0.0,0.0,,,4.0
B.Hall,NYJ,QB,1,3.0,2.0,14.0,0.0,0.63,-0.06,-2.0,0.0,0.0,9.0,5.0,32.86
B.Hall,NYJ,,15,3.0,2.267,22.4,1.0,9.43,0.5,1.067,0.0,0.0,9.0,5.0,11.92
B.Irving,TB,,10,3.5,3.0,27.7,3.0,6.42,-1.29,-5.6,0.0,0.0,4.0,0.0,14.05
B.Melton,GB,,8,1.625,0.5,13.375,1.0,2.81,5.43,27.75,0.0,0.0,,,3.025
B.Nix,DEN,QB,17,0.059,0.0,0.0,0.0,0.17,0.05,0.118,0.0,0.0,1.0,1.0,18.344
B.Oliver,TEN,,1,1.0,1.0,8.0,0.0,0.19,0.15,6.0,0.0,0.0,,,1.8
B.Raimann,IND,,1,1.0,0.0,0.0,0.0,0.19,0.05,2.0,0.0,0.0,1.0,1.0,0.0
B.Robinson,ATL,,17,6.059,4.647,48.235,4.0,19.73,2.41,5.941,0.0,0.0,13.0,12.0,22.047
B.Robinson,SF,,16,0.75,0.5,1.562,0.0,2.17,0.0,0.0,0.0,0.0,4.0,3.0,3.906
B.Russell,SEA,,1,1.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,,,0.0
B.Sims,MIN,,3,2.0,1.0,10.0,0.0,1.27,1.96,24.333,0.0,0.0,1.0,0.0,2.0
B.Sinnott,WAS,,8,1.625,1.375,14.25,1.0,2.98,2.83,13.25,0.0,0.0,1.0,1.0,3.55
B.Skowronek,PIT,,6,1.0,0.667,11.5,1.0,1.15,1.93,10.167,0.0,0.0,1.0,0.0,2.817
B.Smith,KC,,15,2.333,1.667,11.467,1.0,6.34,-1.3,-3.733,0.0,0.0,7.0,3.0,4.22
B.Spann-Ford,DAL,,10,1.3,0.9,9.0,1.0,2.13,2.17,10.7,0.0,0.0,2.0,1.0,2.4
B.Strange,JAX,,12,5.0,3.833,45.0,3.0,10.93,8.49,34.5,0.0,0.0,10.0,1.0,9.833
B.Thomas,JAX,,14,6.5,3.429,50.5,2.0,16.58,26.95,93.929,0.0,0.0,7.0,1.0,9.914
B.Tremayne,CAR,,8,2.25,1.75,20.0,0.0,3.73,4.82,19.625,0.0,0.0,1.0,0.0,3.75
B.Tuten,JAX,,15,0.933,0.667,5.267,2.0,2.55,0.16,0.533,0.0,0.0,2.0,8.0,6.04
B.Whiteheart,CLE,,6,1.0,0.333,0.667,0.0,1.15,1.2,7.167,0.0,0.0,,,0.4
B.Willis,SF,,1,1.0,0.0,0.0,0.0,0.18,0.05,2.0,0.0,0.0,,,0.0
B.Wright,DET,,7,3.143,2.0,15.429,2.0,4.0,0.6,3.143,0.0,0.0,2.0,1.0,5.257
